"comm_fkt","CSB","tot_consult","perc_consult"
"ANDRORANGAVOLA_AMBODIRORANGA","ANDRORANGAVOLA",535,0.948581560283688
"ANDRORANGAVOLA_AMBODIRORANGA","ANTARETRA",8,0.0141843971631206
"ANDRORANGAVOLA_AMBODIRORANGA","IFANADIANA",1,0.00177304964539007
"ANDRORANGAVOLA_AMBODIRORANGA","MAHASOA",10,0.0177304964539007
"ANDRORANGAVOLA_AMBODIRORANGA","MAROTOKO",9,0.0159574468085106
"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO","AMBIABE",2,0.04
"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO","ANDRORANGAVOLA",43,0.86
"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO","ANTARETRA",1,0.02
"ANDRORANGAVOLA_AMBOHIMAHAVELONA BETOHO","MAHASOA",4,0.08
"ANDRORANGAVOLA_AMBOHIMISAFY","ANDRORANGAVOLA",615,0.927601809954751
"ANDRORANGAVOLA_AMBOHIMISAFY","ANTARETRA",9,0.0135746606334842
"ANDRORANGAVOLA_AMBOHIMISAFY","IFANADIANA",4,0.00603318250377074
"ANDRORANGAVOLA_AMBOHIMISAFY","MAHASOA",23,0.0346907993966818
"ANDRORANGAVOLA_AMBOHIMISAFY","MAROTOKO",12,0.0180995475113122
"ANDRORANGAVOLA_AMPASIMPOTSY","AMBIABE",2,0.0023121387283237
"ANDRORANGAVOLA_AMPASIMPOTSY","AMPASINAMBO",1,0.00115606936416185
"ANDRORANGAVOLA_AMPASIMPOTSY","ANDRORANGAVOLA",325,0.375722543352601
"ANDRORANGAVOLA_AMPASIMPOTSY","ANTARETRA",453,0.523699421965318
"ANDRORANGAVOLA_AMPASIMPOTSY","IFANADIANA",6,0.0069364161849711
"ANDRORANGAVOLA_AMPASIMPOTSY","MAHASOA",68,0.0786127167630058
"ANDRORANGAVOLA_AMPASIMPOTSY","MAROTOKO",10,0.0115606936416185
"ANDRORANGAVOLA_ANDRORANGAVOLA","ANDRORANGAVOLA",1749,0.834048640915594
"ANDRORANGAVOLA_ANDRORANGAVOLA","ANTARETRA",86,0.0410109680495947
"ANDRORANGAVOLA_ANDRORANGAVOLA","IFANADIANA",228,0.108726752503577
"ANDRORANGAVOLA_ANDRORANGAVOLA","MAHASOA",25,0.0119217930376729
"ANDRORANGAVOLA_ANDRORANGAVOLA","MAROTOKO",9,0.00429184549356223
"ANDRORANGAVOLA_ANIVORANO","ANDRORANGAVOLA",332,0.552412645590682
"ANDRORANGAVOLA_ANIVORANO","IFANADIANA",4,0.00665557404326123
